,portion_zero_weights_train,portion_seen_events_train,portion_zero_weights_test,portion_seen_events_test,wb_test_mse,rf_test_mse,wb_pred,rf_pred,ijk_butt_var,ijk_u_butt_var,ijk_u2_butt_var,ijk_jahn_var,ijk_u_jahn_var,ijk_u2_jahn_var,ijk_wager_var,ijk_u_wager_var,jk_wager_var,jk_u_wager_var,boot_var
0,0.104,0.202,0.10955710955710955,0.2261072261072261,0.08721917773351608,0.10788495849690716,0.9229752429694711,0.9519984735781005,0.003938456523209365,0.0033607934766525316,0.0,0.003958610196530734,0.0033611176444649014,0.0,0.003914608483758486,0.003360333123737368,0.0066974103128540595,0.00577399934408694,0.0
1,0.103,0.181,0.10023310023310024,0.19813519813519814,0.07517531010758376,0.08123369846778898,0.9293012444092011,0.9232943434243448,0.002158823995113957,0.0013424326360027645,0.0,0.0021878993115891365,0.0013425520690937805,0.0,0.002128091865562758,0.0013423114012191188,0.0033627063518832313,0.0023064692888482103,0.0
2,0.115,0.218,0.08624708624708624,0.22377622377622378,0.09313476159683687,0.10903471710061399,0.9204435476532385,0.9491170873174544,0.0007808537390160125,0.0005646512478658242,0.0,0.0007915614247298162,0.0005647497843317757,0.0,0.0007690507167811109,0.0005640988368826116,0.0013487732021953064,0.0009692807808702745,0.0
3,0.101,0.179,0.08391608391608392,0.1958041958041958,0.09354024959908086,0.10051183637693639,0.9285405045680929,0.8773530858561448,0.025078820842323022,0.019364210037801914,0.0,0.025387908978314864,0.01936615078181472,0.0,0.02475864402197541,0.019361147094488433,0.04563773735212004,0.033267907230582115,0.0
4,0.097,0.205,0.10256410256410256,0.20046620046620048,0.08703823767890441,0.10345336093509629,0.9186709445696791,0.920317392975734,0.023072026923672495,0.017379635373945122,0.0,0.023227790210000182,0.01738116857177042,0.0,0.022897946038294512,0.017377563193257305,0.03762982618051475,0.029859551057872764,0.0
5,0.082,0.167,0.0979020979020979,0.1794871794871795,0.0808902169267107,0.08215307216673905,0.9416752052885509,0.961044554926278,0.0010733039763365791,0.000894280784229061,0.0,0.0010824779350708255,0.0008943200993923241,0.0,0.0010639599157927944,0.0008946279156216301,0.0018243887828971424,0.001537222890644839,0.0
6,0.101,0.202,0.11888111888111888,0.20512820512820512,0.09330371620771068,0.10619933367099434,0.9323698814967989,0.9660262004674548,0.002135103241612067,0.0019107051074120497,0.0,0.002140822664113742,0.001910873602132667,0.0,0.0021272265407851912,0.0019105355496909489,0.0037221993844614837,0.0032828385176589705,0.0
7,0.082,0.212,0.11888111888111888,0.21212121212121213,0.09644235498384235,0.10893411667245749,0.934356615783111,0.9260531145699501,0.007238174245877878,0.006236959006880702,0.0,0.007283705650284794,0.006237328372240681,0.0,0.007188645591853441,0.0062377526807195546,0.013281425073976309,0.010718217081702106,0.0
8,0.103,0.199,0.11421911421911422,0.21445221445221446,0.08234021647408173,0.09011589224731949,0.9387930990031298,0.9135533622439886,0.0031595792393175975,0.0020079948051114384,0.0,0.003252504896521511,0.0020081957580654524,0.0,0.003070004363265015,0.0020075487822577565,0.00518568529625066,0.003449534592298587,0.0
9,0.104,0.186,0.08158508158508158,0.20046620046620048,0.07724120063914992,0.09587557443014195,0.9283889716694873,0.8946596672598178,0.0059570167265536236,0.004885696415244371,0.0,0.006001086220033573,0.004886219367039881,0.0,0.005907760023283262,0.0048845911199635,0.010022522239029783,0.008393104160885697,0.0
