,portion_zero_weights_train,portion_seen_events_train,portion_zero_weights_test,portion_seen_events_test,wb_test_mse,rf_test_mse,wb_pred,rf_pred,ijk_butt_var,ijk_u_butt_var,ijk_u2_butt_var,ijk_jahn_var,ijk_u_jahn_var,ijk_u2_jahn_var,ijk_wager_var,ijk_u_wager_var,jk_wager_var,jk_u_wager_var,boot_var
0,0.321,0.189,0.2773892773892774,0.21212121212121213,0.1745202335116494,0.18036183916513054,0.7768766140840284,0.8440029395908956,0.0020768487597702515,0.0016748122991181332,0.0016748555082595643,0.002283921545573308,0.0018803734815287512,0.0018800952583196823,0.0018757096063598587,0.001479028163426614,0.002534780641037984,0.0018531701259588756,0.0
1,0.294,0.184,0.32634032634032634,0.2097902097902098,0.17264076989082813,0.1737293552244307,0.8091050267126683,0.8579920570879707,0.0010936966511378365,0.0007562297721464074,0.0007560544229511546,0.0011977487459025294,0.0008594115541670411,0.000859130761860727,0.0009959596624131198,0.0006617071284025812,0.0013414754571609846,0.0007671354018542872,0.0
2,0.309,0.175,0.32867132867132864,0.18414918414918416,0.16874315694052588,0.17107647823751998,0.816821263144638,0.853744895762301,0.0008768170072924889,0.0007187649562109199,0.0007177522923112716,0.0009709051185892207,0.0008124415827187949,0.0008113066898960039,0.0007892052029732516,0.000632578413246904,0.0009493960859361081,0.0006802671192994493,0.0
3,0.295,0.21,0.27972027972027974,0.19114219114219114,0.16501977441952356,0.16981856038714965,0.7801113931361691,0.8010494698981776,0.0011568878715065148,0.0008604425931272518,0.0008601695846084662,0.0012784697565386208,0.0009812495662691874,0.000980853879122506,0.001045623252767689,0.0007522013810444899,0.0014416657572758065,0.0009374842870213925,0.0
4,0.326,0.179,0.2913752913752914,0.19813519813519814,0.16241522905457786,0.16803492622042418,0.8082568417081093,0.7827448788808958,0.0036383961683159535,0.0030802368126468687,0.0030805765628013093,0.004072545581077793,0.003512428456452511,0.003512860271053306,0.003249649062937519,0.0026980766100926858,0.004245492530150503,0.0032977356073486423,0.0
5,0.296,0.212,0.2937062937062937,0.1864801864801865,0.16875366720784196,0.17414840294340084,0.77594085633324,0.7993699633018113,0.00486287797298114,0.004134072230727981,0.0041334942804068875,0.0052344257996211375,0.004503617359043438,0.004502835704715123,0.004478395291718906,0.0037581124408519627,0.00560103810530766,0.0043633891713123155,0.0
6,0.282,0.244,0.29836829836829837,0.1888111888111888,0.15821430255852956,0.16016164538158564,0.7715015602955564,0.7701505377851978,0.002972866121056927,0.002326397412537276,0.0023274820325191454,0.0031433851688421667,0.002495176383923686,0.0024962592012446098,0.002787550821291311,0.002148649422293553,0.0034877039212318837,0.0023898912571569736,0.0
7,0.283,0.197,0.331002331002331,0.17715617715617715,0.15878798660824664,0.16169872213218175,0.800949677649553,0.8068399544254481,0.006494132808239614,0.004957016585695231,0.004955792644070189,0.007076792652893912,0.005535798967393333,0.005535842763402967,0.00592649481329839,0.004404546324760771,0.007878788513700366,0.005263652081995467,0.0
8,0.303,0.202,0.25874125874125875,0.19813519813519814,0.15338003732651992,0.1654028985902824,0.7920525036640893,0.8203508680467994,0.0012000856332219925,0.0009427342127146577,0.0009429841349017341,0.001295633191651191,0.0010375473313535576,0.001037426483862128,0.0011034490611452564,0.0008488503533932434,0.0013758907702661484,0.0009384184371867096,0.0
9,0.299,0.197,0.2867132867132867,0.20512820512820512,0.17917391125176524,0.1884826886639666,0.7805103906702934,0.8088157713456476,0.001934138581807169,0.001543004391441564,0.0015419286925789145,0.0021208657535467562,0.0017285854884570824,0.0017272734184113313,0.0017583214198346716,0.0013716071846569913,0.0021591919888776867,0.0014947079457654413,0.0
