ijk_jahn,ijk_jahn_u,ijk_wager,ijk_wager_u,jk_wager,jk_wager_u,true_variance
27.60395902411197,-15.757602163139836,27.603959024112037,-15.844499079346699,124.84226668244641,50.18557064870913,0.002
60.27879185451647,7.428991014739707,60.278791854516534,7.323079590211166,191.67151366648113,100.67867556961944,0.002
46.90362626700295,-2.8926429905785964,46.903626267002906,-2.992435113339327,139.75732622316684,54.021830641647625,0.002
25.573953328910783,-18.962869883321336,25.573953328910825,-19.052122034047215,129.93275814944053,53.25258377782585,0.002
40.52244002510309,-7.436512804514356,40.52244002510314,-7.532622930425388,158.20095855379805,75.628817111858,0.002
39.740776149191596,-8.365196694100502,39.740776149191575,-8.4616014492975,151.0694571495528,68.24418763354765,0.002
64.41257675215147,11.084392332276787,64.41257675215147,10.977522223218914,185.8764654269674,94.05998222718445,0.002
38.10180558681494,-7.054945820987676,38.10180558681492,-7.145440312786906,165.22473528398262,87.47721486687877,0.002
48.16642606065577,0.03429434397674621,48.16642606065577,-0.06216283381218959,169.54661442761378,86.67630651802773,0.002
85.49278156818123,26.955425175585656,85.4927815681813,26.83811584413764,223.44323973307687,122.65799346511305,0.002
54.72566903497258,5.231643776431216,54.725669034972604,5.132457353067429,129.39064808846976,44.17553364052926,0.002
79.88787238033869,22.964136830697306,79.8878723803387,22.850061208353356,201.98271676305254,103.97568229115177,0.002
36.40251124696744,-8.38232744448141,36.40251124696742,-8.472076620215798,152.15447034213418,75.0472814503645,0.002
48.97197762804353,-1.7015326405327245,48.97197762804351,-1.8030827613114369,157.8713111665907,70.62544756065141,0.002
53.20784442714744,0.8630486307973414,53.207844427147464,0.7581492404238905,150.383993597923,60.26063545036002,0.002
34.14421894307237,-12.171728119883344,34.14421894307237,-12.264545649067642,144.235936858491,64.49259997858327,0.002
45.748310877409374,-2.9283163950244395,45.74831087740935,-3.0258647462718224,161.57840594940544,77.77062627716397,0.002
60.854628520130106,9.207927629031019,60.85462852013015,9.104427226443688,169.64778829176825,80.72635778972902,0.002
31.972331883293148,-12.557942383098572,31.972331883293126,-12.647181409684546,134.06726944354455,57.398370557534214,0.002
59.84313995044745,4.73944696824909,59.84313995044745,4.629018725799778,200.2090747532717,105.33565357862472,0.002
64.80664301996624,9.996059932252614,64.80664301996623,9.886219084381418,169.64659789303124,75.27783143324866,0.002
46.36959491302948,-4.1666309297956925,46.36959491302946,-4.267905931484742,149.29383971467533,62.284342174967044,0.002
34.53449224046252,-10.250468739086147,34.53449224046254,-10.340218159886826,142.13438226791823,65.02698282963581,0.002
48.24637796466671,0.2144987156555431,48.24637796466671,0.11824244461541844,145.8879441251114,63.19024342339296,0.002
42.32684001197011,-7.077356847313541,42.32684001197011,-7.176363253845182,149.0508671562414,63.990412534076526,0.002
59.35939497150463,7.22865251502518,59.35939497150463,7.124182089260703,169.73688141781003,79.98206431656044,0.002
24.540569953933442,-21.624633748768808,24.540569953933442,-21.71714918705078,123.15289870394817,43.66910047803284,0.002
57.36752824785755,6.108857098856539,57.36752824785755,6.006134310982802,143.11625949251305,54.86290960645458,0.002
51.756906242320014,1.3728765709106108,51.756906242319985,1.2719065715690714,168.60487689180397,81.85741934779183,0.002
74.41031792885008,19.20558893099521,74.41031792885008,19.09495821156063,209.107506990479,114.06012955358507,0.002
38.46299117182656,-9.888869410281288,38.46299117182656,-9.985766926477908,136.822212867704,53.57359221597946,0.002
47.29943052667383,-0.8601133151788214,47.29943052667385,-0.9566254270863177,154.29313464945136,71.37563059100232,0.002
47.02276081406326,-3.3637956110734955,47.022760814063304,-3.464770674049681,165.70403202426144,78.95222410448302,0.002
35.054993272153816,-12.413192654859435,35.05499327215384,-12.50831927996365,141.83897048663056,60.11179482700905,0.002
51.12537310319708,0.15417704059405168,51.125373103197056,0.052030355097813785,163.76395309648285,76.00555633376342,0.002
53.7517201586436,2.4481654317115056,53.75172015864362,2.345352696787829,176.01643348424793,87.68580640745277,0.002
51.41909005343693,3.039571615813118,51.41909005343695,2.942618673052377,147.44969564066633,64.15345575993656,0.002
31.71629837558239,-13.936627484157174,31.716298375582415,-14.028116313535389,143.4258629987217,64.82406648491553,0.002
58.44403134506139,4.607726488958579,58.44403134506139,4.499838102473398,162.75929538052745,70.06796838090533,0.002
62.822369411752135,11.505330029745222,62.822369411752135,11.402490271464643,175.48653738464242,87.13269343632611,0.002
41.98093304080952,-6.2776667589994855,41.98093304080955,-6.374377379840751,131.3829552701384,48.29490406483869,0.002
62.26245535372206,8.157357688359832,62.26245535372203,8.048930638930237,200.94852471608382,107.7944103419417,0.002
54.25655408044293,5.465587030216868,54.25655408044295,5.367809541138293,174.4129682259125,90.40832686784893,0.002
26.642270456176902,-19.927249877961906,26.64227045617688,-20.020575570014326,133.35390844662476,53.17398805563806,0.002
59.96835595456355,8.82929906288834,59.96835595456352,8.726815982945082,150.21401731222417,62.16661031673439,0.002
54.33574536432434,4.691978570749286,54.33574536432432,4.5924920641489395,151.36455345260674,65.89162521847997,0.002
28.115586420779554,-17.11260145629617,28.115586420779575,-17.203239107352406,131.9940511727598,54.12353678066473,0.002
55.30977468105848,3.8305560669972234,55.30977468105846,3.7273913002355568,166.26010635978946,77.62703432791363,0.002
70.45785778338882,16.336214633345577,70.45785778338883,16.2277544266321,206.00991396366393,112.82731281029292,0.002
47.51653374429705,0.12197494578996063,47.51653374429705,0.026995870041441813,157.10338867034164,75.50297869909063,0.002
47.88579552015516,0.41644907620862115,47.88579552015514,0.3213201254191221,130.2744474973771,48.54527374641482,0.002
71.87830834930585,17.090599440504924,71.8783083493059,16.9808044326717,185.3295627159095,91.00017930819769,0.002
28.20619221376853,-17.24881761895012,28.206192213768556,-17.339909823023685,152.81215409920935,74.55111461224773,0.002
32.894220212435414,-12.115217400075924,32.89422021243539,-12.205416673848513,144.8478914389048,67.35400490710187,0.002
55.44548484594492,2.7879367933073516,55.44548484594492,2.6824106449052643,204.30243457645142,113.64060296316872,0.002
59.142472101653475,7.682462759374875,59.14247210165343,7.579336488147812,189.72211121424812,101.12211227119201,0.002
62.070183408733456,10.401975606246774,62.07018340873339,10.2984321036365,171.31971298029117,82.36125348524233,0.002
55.74572542897519,5.396530326003449,55.74572542897515,5.295630135416282,171.40571607138997,84.7182340844406,0.002
67.75003461923426,12.368689892675423,67.75003461923426,12.25770523390476,190.97462510714024,95.62316390546465,0.002
75.88186805842787,20.695597909436895,75.8818680584279,20.585004181683434,212.01166934358707,116.99607297340373,0.002
73.29590226812435,17.45536648231341,73.29590226812441,17.343461600979143,194.18207418703167,98.04001213074312,0.002
43.28595844074604,-6.97127580968895,43.285958440746,-7.0719917099904706,167.91838254889186,81.38923188643496,0.002
76.10880865420503,20.774733440333325,76.10880865420498,20.663843510044945,195.84334806003193,100.57327197327662,0.002
57.10889162567937,5.133650778842754,57.10889162567939,5.0294919795505155,189.1957454185352,99.70865936953554,0.002
45.592308698644125,-5.4862695774713375,45.592308698644146,-5.5886314577841745,154.53923821115973,66.59595877691908,0.002
52.148090092164644,1.8087074255894366,52.148090092164665,1.7078268992035475,166.5568309653919,79.88624329823519,0.002
51.06547818395429,0.32151897543905744,51.06547818395425,0.21982767441995188,145.55592857078497,58.188771244072804,0.002
41.034282486637615,-9.461759211635211,41.034282486637615,-9.562953683976444,165.4895124538927,78.54920097167583,0.002
40.622597949068286,-8.785706839782462,40.622597949068286,-8.884721478637877,161.85254209989543,76.7850147515505,0.002
11.55010884907792,-28.917198965846058,11.550108849077944,-28.99829577509439,102.31323116380264,32.63964432508263,0.002
82.89053460026976,26.45617426684883,82.89053460026979,26.34307935636105,199.2525814271372,102.08811663592765,0.002
70.33631427272316,16.494139501906762,70.3363142727232,16.386239352065495,178.02574913863165,85.32431575846147,0.002
52.90536955804305,1.8116308465385491,52.905369558043006,1.7092385845916218,157.16999361763524,69.20061207854441,0.002
64.11766715445086,9.465928820088479,64.11766715445093,9.3564062983764,221.45456456867927,127.3592851361808,0.002
46.1547660313354,-2.7374482822466835,46.1547660313354,-2.835428671652657,148.50137224002137,64.32241090920643,0.002
42.182920470714734,-6.232474882477767,42.18292047071469,-6.329499722864967,160.681306048491,77.32329597529343,0.002
69.72719905522584,15.216671281412372,69.72719905522591,15.107431746795575,181.93123864166031,88.07908500092307,0.002
45.47844890497056,-1.1201233620435893,45.478448904970584,-1.2135072744022968,139.5191360267797,59.289196188557234,0.002
49.01075209160083,0.12634406098810913,49.01075209160081,0.028379315435752422,168.97807424504245,84.81255318895103,0.002
48.891647146683304,-1.297505048521142,48.891647146683304,-1.3980845118381768,145.57425211318662,59.16232004626758,0.002
96.7959736749807,36.29983411667194,96.79597367498074,36.17859936805815,211.19194183245943,107.03420907197419,0.002
54.45377379371865,2.3142578982879303,54.45377379371865,2.209769890481467,164.1148957102822,74.34497315740633,0.002
33.81026849409135,-13.843706200224984,33.810268494091375,-13.939205147508169,147.3466094150803,65.29955653823568,0.002
73.04018894040264,16.8096749027246,73.04018894040266,16.696988501847503,191.09950108567915,94.28600361488415,0.002
39.196171841906434,-6.76214127786766,39.19617184190648,-6.8542421057629515,152.73768497042093,73.6100954911236,0.002
64.33578546483325,11.99720507270149,64.33578546483328,11.892318138047937,184.3752216703352,94.26256474133429,0.002
75.50645196887423,18.858322888360625,75.50645196887425,18.74479958359008,183.41075842695162,85.87824258000882,0.002
46.22630089484922,-1.054591983480212,46.226300894849196,-1.1493432718135637,150.29269397429826,68.88798549117988,0.002
36.16742686856722,-11.111043260154139,36.16742686856724,-11.20578969327781,154.93229372609306,73.53175655221962,0.002
32.31537767894052,-12.276813898477226,32.31537767894054,-12.366177007850785,136.89175780225816,60.11625431664554,0.002
42.82653151079247,-3.6305141127191893,42.82653151079245,-3.7236144045499007,156.7582182851898,76.77194844674003,0.002
35.277205194187175,-11.90425858931236,35.27720519418721,-11.998810620942571,130.8557501484447,49.62223125136479,0.002
47.825848776521504,-2.8386926764910076,47.825848776521504,-2.940224823691441,182.98989920660452,95.75947743714414,0.002
60.65862165136914,11.629734305377767,60.65862165136912,11.531480022119252,172.645930020052,88.23165527437806,0.002
35.98488345619648,-10.19658727087968,35.98488345619646,-10.2891353084089,148.9076283032228,69.39582273022855,0.002
49.71322871529613,-0.5277282902473295,49.71322871529613,-0.6284115708195693,153.63608570754494,67.1349599890905,0.002
77.29726459550633,19.651823121475882,77.29726459550629,19.536301194674184,189.48479187379556,90.2351780678578,0.002
57.99547392900926,6.98669270618635,57.99547392900928,6.884470699727798,162.04126651929596,74.21815843611,0.002
54.996807716493464,3.204716875258124,54.996807716493535,3.100925110045274,167.08180267645062,77.91005062194675,0.002
67.73163026176671,14.46346977969893,67.73163026176668,14.356719959093562,166.7396440310421,75.02650556232742,0.002
38.01130199480036,-10.648290183188344,38.01130199480036,-10.745804395969879,168.3418989612384,84.56344904173353,0.002
62.814022361223664,7.866734513115774,62.814022361223664,7.756619707808936,200.46802698702658,105.86389248551124,0.002
52.30811256021409,1.561301147549811,52.30811256021411,1.4596041306907948,179.73351093097867,92.36144289228214,0.002
23.806593399893416,-19.03377695866398,23.806593399893416,-19.119629404272313,114.49094550792299,40.73159689914074,0.002
47.142234933233404,-1.552763437929778,47.14223493323343,-1.6503486050062355,175.12013846883278,91.2807288115056,0.002
62.84375948758393,8.310231338955026,62.84375948758393,8.200945711402682,170.26120755770833,76.3694535902245,0.002
40.57235539756412,-6.821111550761507,40.57235539756409,-6.916088438433526,165.0332749576545,83.43474485246183,0.002
65.6620716305452,13.342132633669584,65.66207163054521,13.237283056521552,202.3939108076052,112.31334924005299,0.002
49.520658006042716,1.2413769836826845,49.520658006042716,1.144624917505605,158.37092248549766,75.24726389653087,0.002
32.974668159641396,-13.990001471448773,32.974668159641354,-14.084119045859817,145.07354059767584,64.21328167314219,0.002
65.30384597010085,10.703629949925181,65.30384597010087,10.594210679343687,200.10506070526927,106.09848854353952,0.002
33.71646723637834,-12.462603338568599,33.716467236378364,-12.555146566173683,144.29787786862173,64.79020469822181,0.002
35.626073033596825,-11.62576866831083,35.626073033596825,-11.720461737853727,170.64805925794332,89.29336891965549,0.002
55.30204541920364,5.347491602057533,55.30204541920364,5.247382275770651,148.8674669729598,62.859448863960196,0.002
64.93754532358655,11.027768196790552,64.93754532358656,10.919732571286001,194.07831628860654,101.26049022322519,0.002
27.019425428196037,-17.58531206202615,27.019425428196037,-17.674700313509558,124.34178483825595,47.54468073741959,0.002
45.47739401081867,-4.615707200603916,45.47739401081863,-4.716094176979559,183.9901851076354,97.74362644756805,0.002
71.65517914155366,17.05253825383538,71.65517914155366,16.943114123799855,205.0467408379953,111.03599372051916,0.002
58.77076137448479,3.167146955658745,58.77076137448477,3.0557168666430283,194.74027071798307,99.00612216837169,0.002
49.390693505936206,0.12451546951989037,49.390693505936184,0.025785653815640908,161.76533182460787,76.94250769875394,0.002
38.97356472619294,-9.368766490088756,38.97356472619292,-9.465644909359883,152.90051451388672,69.6683008121981,0.002
29.824606981175517,-16.309336485910038,29.82460698117556,-16.401789278429217,157.42432219124782,77.99434550322177,0.002
57.110467768442355,3.4695062184574716,57.1104677684424,3.362009301523684,175.56769566169416,83.21269617030202,0.002
58.32036310180514,7.638578643570453,58.32036310180509,7.537011941249286,181.16690439127268,93.9067949038351,0.002
60.202467902548996,8.758120735078519,60.202467902548996,8.655025850975367,186.496379458561,97.92334647779639,0.002
65.22427916009971,11.72577888949608,65.22427916009968,11.61856746610809,164.9563511548664,72.84663084946608,0.002
29.321881208296297,-16.995970302603094,29.321881208296297,-17.088791648316324,133.41013360098034,53.663517784905444,0.002
42.624524044566165,-5.425136692796279,42.624524044566165,-5.52142859808159,157.07946892501113,74.35115338529975,0.002
55.00646104059582,2.446050650757852,55.00646104059582,2.3407191670106897,169.70649088161827,79.2119036379223,0.002
4.8420313117342575,-33.025427416973265,4.842031311734301,-33.101314107812314,96.10138033039082,30.90401938503915,0.002
51.263290999207115,1.7592154345714028,51.263290999207086,1.6600088703135845,153.53534019674942,68.30292188274444,0.002
53.057110280081886,0.1713234015912526,53.05711028008191,0.06533986075260914,155.37841149196797,64.32361532256088,0.002
18.48726925812996,-22.764064496165144,18.48726925812994,-22.84673249968079,104.73731851609602,33.713854398155625,0.002
75.06620898371168,17.35459653976351,75.06620898371168,17.238942005807708,195.03823700441606,95.67469496683388,0.002
55.48602486733801,6.720064665171233,55.48602486733801,6.622337290016585,179.78053008097763,95.81894364536626,0.002
54.37878245789221,1.1883227407816612,54.37878245789223,1.0817286331321705,196.7287827005301,105.14942360304123,0.002
