,portion_zero_weights_train,portion_seen_events_train,portion_zero_weights_test,portion_seen_events_test,wb_test_mse,rf_test_mse,wb_pred,rf_pred,ijk_butt_var,ijk_u_butt_var,ijk_u2_butt_var,ijk_jahn_var,ijk_u_jahn_var,ijk_u2_jahn_var,ijk_wager_var,ijk_u_wager_var,jk_wager_var,jk_u_wager_var,boot_var
28,0.495,0.208,0.5104895104895105,0.21212121212121213,0.19242509360637566,0.19612707622140424,0.9151358355397821,0.8847794700502193,0.009801452750498228,0.00544443601929506,0.005460106377016775,0.010386655542535633,0.005926225375539126,0.005934771413903803,0.008650512602969592,0.004536505070535869,0.01979816132298623,0.012729136937861728,0.0
29,0.491,0.185,0.5524475524475524,0.2097902097902098,0.2119831884861847,0.21710859055820636,0.8798132113586317,0.8434569814704694,0.00522962437098816,0.0018487398871822902,0.0018507633456697667,0.0055357598879888096,0.002078149486819396,0.0020712424813081024,0.004810540773156327,0.0015980122426324005,0.013263866906565579,0.007743837509160078,0.0
30,0.497,0.206,0.4755244755244755,0.20512820512820512,0.18956894875246993,0.1973299182532051,0.8785141525254795,0.8319913338568861,0.007472819789245524,0.0018466726409907958,0.0018414344974859937,0.007897197918567887,0.002108493583780592,0.002097578419774682,0.006801439297738477,0.00154026100033966,0.02278891105649966,0.013748723991796176,0.0
31,0.493,0.187,0.4825174825174825,0.2191142191142191,0.19747688178299472,0.20516304089244886,0.9138695122524695,0.8732862901788332,0.016299157248451927,0.004600157389423456,0.004478329715062169,0.01705402180267615,0.005079305410946292,0.00496613756431734,0.015140269668422694,0.0040219828375688965,0.03999981092391503,0.020895460698863447,0.0
32,0.514,0.207,0.4592074592074592,0.20279720279720279,0.18341723120465164,0.18710719851256105,0.8979443181831284,0.8439133937673964,0.011279754440718376,0.0027363588831771715,0.0028025679575143445,0.012452997654122049,0.0036557279540177217,0.0038054748125799474,0.00989624063930409,0.0019415619759048132,0.03038467436351495,0.016716294564965088,0.0
33,0.496,0.198,0.5034965034965035,0.20745920745920746,0.19709250575164264,0.1990847890619919,0.8967290037127587,0.9229264539733788,0.008435013986124592,0.0021977989309181836,0.002212737750152927,0.008711548425389206,0.002307215415676504,0.0023413052975693478,0.007874219617029046,0.0019841311970049255,0.02269233164342696,0.012571499743282467,0.0
34,0.502,0.208,0.5314685314685315,0.20279720279720279,0.20057351983046173,0.20817093739543524,0.877263158188019,0.792935685633566,0.016260974056075815,0.00445687137079033,0.0042875917529176105,0.018021201489655976,0.005875906985899891,0.005651983758936694,0.0142423538756607,0.003209690883651091,0.04713990990467065,0.028182685565987943,0.0
35,0.512,0.183,0.48717948717948717,0.20279720279720279,0.1868605624411505,0.184383488293938,0.8898398736245875,0.9248282156455063,0.007397189442573773,0.0033617104174343644,0.0033285666292138857,0.008120201800894813,0.003956911057592112,0.003912787426707168,0.006516670073774962,0.00272993362400548,0.017500775849729925,0.010994095418927506,0.0
36,0.49,0.195,0.49184149184149184,0.20046620046620048,0.17353164559221748,0.19326187689410845,0.8816579946238802,0.8610199794172229,0.010827823771257702,0.0016967645403167027,0.0015381941547457766,0.011491155045249883,0.002124824910998163,0.001977532186763737,0.009941761744133033,0.0013125314625664387,0.03501554319813308,0.020188093611728672,0.0
37,0.475,0.198,0.5151515151515151,0.21445221445221446,0.19690120843489864,0.20094952964059212,0.8845398261353379,0.8204709186204986,0.006853035909914848,0.0020843332038687663,0.0020799131469730735,0.0075335002163466796,0.0026680696537129574,0.002662191003684901,0.0061126637269899725,0.0015744236597887177,0.017451170432611914,0.00965319499195524,0.0
38,0.488,0.206,0.4988344988344988,0.1888111888111888,0.1807943052960061,0.1832407905753661,0.8969421056144813,0.8572559389542836,0.05862346791605071,0.01837151054913052,0.018437548260949517,0.06009541847792073,0.01883855962753954,0.019038613509896204,0.054701086657296255,0.016689622542710295,0.16240075327819128,0.09708634521697514,0.0
39,0.496,0.209,0.48717948717948717,0.20745920745920746,0.1885733830181248,0.19016994020482772,0.9060354268216927,0.861856090437626,0.007922453999890404,0.0032572411838162956,0.003286965919184666,0.008485586702834287,0.0037217881059306377,0.0037557673993833937,0.007107719940679413,0.0026829102741403113,0.02120005343179927,0.013596983387395204,0.0
40,0.495,0.208,0.5104895104895105,0.1958041958041958,0.18635834303956686,0.19732142538146136,0.9174241304063535,0.8586131744556005,0.051273088782451175,0.01640433749715238,0.01620062447691214,0.06297232743778096,0.027183311024191456,0.02667096269692778,0.041523077072052605,0.008738214917699022,0.11853653933444841,0.06220290644608799,0.0
41,0.479,0.203,0.5361305361305362,0.19347319347319347,0.18309427008764986,0.1869566800798332,0.8795473169069512,0.8947822499542627,0.0058070325345965365,0.0021206050355138495,0.002127212202814681,0.006297129990458878,0.002528064202814201,0.0025324440872335737,0.005197162691628207,0.001706197512211325,0.014048194072383403,0.008049732040808104,0.0
42,0.497,0.206,0.49417249417249415,0.20745920745920746,0.19959063411468858,0.21501453334406484,0.895404466007097,0.8648320007504535,0.005435972413531315,0.001333526600226764,0.0013289548301661201,0.005656789624680156,0.0014441737503956024,0.001449459468105289,0.005029198546886329,0.0011755057204212026,0.015335891290063951,0.008714160933885948,0.0
43,0.52,0.201,0.4965034965034965,0.1864801864801865,0.17865641348625708,0.1885883842185937,0.8971715705940388,0.956023041024727,0.005922115704953592,0.0024590741088202123,0.0024736676684862006,0.0066470772169940915,0.00305311123540409,0.0030657710188339107,0.005091850332266659,0.0019019167568801896,0.015590919830813819,0.010109714934235858,0.0
44,0.504,0.205,0.5221445221445221,0.18414918414918416,0.17456518127677084,0.19329229391738834,0.8919770505758766,0.9480777488232195,0.004676035794777459,0.000950946924348486,0.0009155211844891508,0.004775054894939392,0.0009516050523930967,0.0009356329258149144,0.004380692840065552,0.0008769159590847216,0.014311108112830222,0.008290631967265951,0.0
45,0.484,0.202,0.4965034965034965,0.20279720279720279,0.19012519808974931,0.19345271765179356,0.8377529522557394,0.8979060144780706,0.007970425948962275,0.0020174303820659325,0.001971064758306519,0.008443820019919548,0.0023431922351073086,0.002283211400482505,0.007198700029408262,0.0015873419669576692,0.019686077032889156,0.010044182441203147,0.0
