,portion_zero_weights_train,portion_seen_events_train,portion_zero_weights_test,portion_seen_events_test,wb_test_mse,rf_test_mse,wb_pred,rf_pred,ijk_butt_var,ijk_u_butt_var,ijk_u2_butt_var,ijk_jahn_var,ijk_u_jahn_var,ijk_u2_jahn_var,ijk_wager_var,ijk_u_wager_var,jk_wager_var,jk_u_wager_var,boot_var
0,0.501,0.204,0.5128205128205128,0.20745920745920746,0.07237517911406141,0.1062029092097194,0.8910008908154521,0.8416776124295475,0.015434737679838887,0.005652909931265569,0.005665302723056235,0.016722730004519376,0.006589303977561564,0.006616505914757915,0.013365204172579977,0.004423323536453264,0.040750958640351026,0.02538628763104469,0.006361448325976957
1,0.517,0.196,0.5104895104895105,0.19114219114219114,0.09032714690832687,0.11206501780793235,0.8802110196890818,0.887704111840592,0.0032237311496049474,0.001650300674112379,0.0016463791942556425,0.0035217501241885793,0.001882249432246856,0.001875350371101343,0.002730950155949022,0.0012932411066143496,0.008246002393499128,0.005775613059416231,0.003078559138465882
2,0.484,0.209,0.5151515151515151,0.21212121212121213,0.11053347104819378,0.1345839493276155,0.8853195801308467,0.820266972407725,0.008461317323887283,0.0031571661872028343,0.0030451184601278554,0.009015539027585204,0.0035370479243912005,0.003424243400588102,0.007467068759267014,0.0025797974796698073,0.021258862538928364,0.012861153108446698,0.005392986487058607
3,0.505,0.194,0.4988344988344988,0.1888111888111888,0.07497723913304645,0.09726661117882232,0.8863077434728736,0.9430824096854546,0.006352845818299293,0.0017729468181923959,0.0017225489585738756,0.006934909119957073,0.0021825737420344453,0.002117920141125676,0.005609598186452583,0.0013841651619975835,0.01688930546144795,0.00962882067815618,0.0029027171646415456
4,0.496,0.212,0.48484848484848486,0.19114219114219114,0.11188317174369965,0.14366618453217977,0.8583948579216902,0.9018543451865321,0.013716649320906209,0.003734670150365462,0.003717214744939263,0.014826423915994735,0.004497525792993095,0.004472907515582743,0.012064681773958821,0.002885385020157394,0.03898176792676759,0.023209149116677492,0.004767178933803848
5,0.518,0.192,0.5128205128205128,0.1655011655011655,0.09926419131175311,0.11440641276838293,0.9059776154628786,0.921747623201047,0.004020295094304502,0.0012184430895302938,0.001225247218657966,0.0042776316496562425,0.0013604959598150675,0.0013876756228148558,0.003623493484434926,0.0010382448077711861,0.011756223980865016,0.007314038157705918,0.002236577921258969
6,0.481,0.206,0.5011655011655012,0.2097902097902098,0.10165320495758728,0.12023928770244727,0.8810632250687398,0.9271488862835788,0.004159027191576018,0.001961109856678105,0.001980040676938496,0.004530020812475795,0.0022690460302285617,0.0022924651853247786,0.0036186919012088283,0.001565795706881254,0.008782971042423674,0.005255516815997875,0.005120210911542782
7,0.487,0.209,0.4825174825174825,0.1958041958041958,0.09735939276931127,0.11332643893180283,0.8871299200259318,0.7956650872156283,0.0213152114118675,0.007695738158082482,0.007678251108581889,0.023402604241255873,0.009284150124675877,0.009245717409334634,0.018370195330489954,0.0058995631628129715,0.052849160755480684,0.03142110011236449,0.006519226355944101
8,0.495,0.2,0.5011655011655012,0.1888111888111888,0.10520803516997132,0.13186752040180072,0.8951565208012571,0.9003355424060241,0.006807619987526068,0.0030666401930008382,0.003067418505228006,0.007341818626240577,0.003474782488617992,0.003465149530176839,0.005930474921561643,0.0024745301093463813,0.015668098976407883,0.009729811805421092,0.006463549805350609
9,0.493,0.189,0.48717948717948717,0.19347319347319347,0.08779575367060738,0.10270049446996526,0.8902292287243946,0.9246365368735592,0.007987741091056176,0.001469928271135147,0.001454360262734736,0.008612599176919318,0.001873298717495202,0.001842341983747879,0.007089643326960897,0.0010392861056515972,0.023674561580157395,0.013278342711095664,0.003339329327263176
